axial	abaxial	J	J	ab	prefix
moral	amoral	J	J	a	prefix
indústria	industrial	N	J	al	suffix
cor	coral	N	J	al	suffix
alegre	alegria	J	N	ia	suffix
gust	disgust	N	N	dis	prefix
variable	invariable	J	J	in	prefix
acusar	acusació	V	N	ció	suffix
cultural	multicultural	J	J	multi	prefix
amarg	amargura	J	N	ura	suffix
vena	venal	N	J	al	suffix
rectangle	rectangular	N	J	ar	suffix
barba	barber	N	N	er	suffix
mina	miner	N	N	er	suffix
prop	proper	R	J	er	suffix
tia	bestia	N	N	bes	prefix
evitable	inevitable	J	J	in	prefix
adaptar	adaptable	V	J	able	suffix
turc	Turquia	J	N	ia	suffix
ornament	ornamental	N	J	al	suffix
cap	cabut	N	J	ut	suffix
data	datar	N	V	ar	suffix
abús	abusar	N	V	ar	suffix
dent	dental	N	J	al	suffix
cameral	bicameral	J	J	bi	prefix
possible	impossible	J	J	in	prefix
semita	antisemita	J	J	anti	prefix
labial	bilabial	J	J	bi	prefix
despertar	despertador	V	N	dor	suffix
corn	cornada	N	N	ada	suffix
considerar	considerable	V	J	able	suffix
gaita	gaiter	N	N	er	suffix
moral	immoral	J	J	in	prefix
reversible	irreversible	J	J	in	prefix
Martí	martinet	N	N	et	suffix
serva	server	N	N	er	suffix
continent	continental	N	J	al	suffix
Japó	japonès	N	J	ès	suffix
llegible	illegible	J	J	in	prefix
heptàgon	heptagonal	N	J	al	suffix
formal	informal	J	J	in	prefix
front	frontal	N	J	al	suffix
professió	professional	N	J	al	suffix
ou	oval	N	J	al	suffix
bomba	bomber	N	N	er	suffix
fer	refer	J	V	re	prefix
comprar	comprador	V	N	dor	suffix
molècula	molecular	N	J	ar	suffix
continental	intercontinental	J	J	inter	prefix
pena	penal	N	J	al	suffix
cald	caldera	J	N	era	suffix
octàgon	octagonal	N	J	al	suffix
metil	metà	N	N	à	suffix
semicercle	semicircular	N	J	ar	suffix
coherent	incoherent	J	J	in	prefix
dialecte	dialectal	N	J	al	suffix
usar	usable	V	J	able	suffix
consistent	inconsistent	J	J	in	prefix
fer	afer	N	N	a	prefix
posta	postal	N	J	al	suffix
sola	solar	N	V	ar	suffix
tangent	cotangent	N	N	co	prefix
secant	cosecant	N	N	co	prefix
cobrir	descobrir	V	V	des	prefix
gelós	gelosia	J	N	ia	suffix
jorn	jornada	N	N	ada	suffix
jugar	jugador	V	N	dor	suffix
pagar	apagar	V	V	a	prefix
falta	faltar	N	V	ar	suffix
neu	nevera	N	N	era	suffix
carreta	carretera	N	N	era	suffix
front	frontera	N	N	era	suffix
camí	caminar	N	V	ar	suffix
elector	electoral	N	J	al	suffix
dimensió	dimensional	N	J	al	suffix
lateral	unilateral	N	J	uni	prefix
unir	reunir	V	V	re	prefix
artèria	arterial	N	J	al	suffix
culpar	culpable	V	J	able	suffix
oliva	oliver	N	N	er	suffix
estudi	estudiar	N	V	ar	suffix
registre	registrar	N	V	ar	suffix
reportar	reporter	V	N	er	suffix
cessant	incessant	V	J	in	prefix
sal	saler	N	N	er	suffix
sentir	sentiment	V	N	ment	suffix
pilot	copilot	N	N	co	prefix
territori	territorial	N	J	al	suffix
cara	carota	N	N	ota	suffix
tetràgon	tetragonal	N	J	al	suffix
estrena	estrenar	N	V	ar	suffix
permeable	impermeable	J	J	in	prefix
percebre	perceptible	V	J	ible	suffix
despondre	disponible	V	J	ible	suffix
lateral	bilateral	N	J	bi	prefix
element	elemental	N	J	al	suffix
dispensable	indispensable	J	J	in	prefix
normal	paranormal	J	J	para	prefix
agradar	agradable	V	J	able	suffix
patriota	compatriota	N	N	com	prefix
seguir	seguidor	V	N	dor	suffix
resistible	irresistible	J	J	in	prefix
resistir	resistible	V	J	ible	suffix
captura	capturar	N	V	ar	suffix
relació	relacionar	N	V	ar	suffix
tocar	tocador	V	N	dor	suffix
anàlisi	analista	N	N	ista	suffix
poble	poblar	N	V	ar	suffix
