peru	peruke	N	N	ke	suffix
marista	marina	N	N	na	suffix
ajaa	ajo	V	N	o	suffix
itää	itu	V	N	u	suffix
mataa	made	V	N	e	suffix
lipeä	live	N	N	e	suffix
valvoa	valve	V	N	e	suffix
ottaa	otto	V	N	o	suffix
valta	valtio	N	N	io	suffix
elää	ele	V	N	e	suffix
sitoa	side	V	N	e	suffix
sini	sine	N	N	e	suffix
astua	asti	V	U	i	suffix
appaa	ape	V	N	e	suffix
verta	verto	N	N	o	suffix
vetää	veto	V	N	o	suffix
lentää	lento	V	N	o	suffix
taika	taikoa	N	V	oa	suffix
isä	iso	N	J	o	suffix
kehä	keho	N	N	o	suffix
olla	olio	N	N	io	suffix
puna	punainen	N	J	inen	suffix
sini	sininen	N	J	inen	suffix
kelta	keltainen	J	J	inen	suffix
jännittää	jännite	V	N	e	suffix
tehdä	teho	V	N	o	suffix
kattaa	katto	V	N	o	suffix
kirja	kirjoittaa	N	V	oittaa	suffix
gramma	kilogramma	V	N	kilo	prefix
suora	suorakulmio	J	N	kulmio	suffix
pistää	piste	V	N	e	suffix
sana	sanoa	N	V	oa	suffix
valmis	valmistaa	J	V	taa	suffix
tuo	toinen	V	J	inen	suffix
ajattaa	ajatella	V	V	ella	suffix
halu	haluta	N	V	ta	suffix
kerta	kertoa	N	V	oa	suffix
seura	seurata	N	V	ata	suffix
vasta-	vastata	U	V	ta	suffix
rakas	rakkaus	J	N	us	suffix
kertoa	kertomus	N	N	mus	suffix
mitata	mittari	V	N	ri	suffix
lahdata	lahti	V	N	i	suffix
anoa	ane	N	N	e	suffix
voima	voimakas	N	J	kas	suffix
liha	lihava	N	J	va	suffix
ilo	iloinen	N	J	inen	suffix
suru	surullinen	N	J	llinen	suffix
vaara	vaarallinen	N	J	llinen	suffix
turva	turvallinen	N	J	llinen	suffix
arvata	arvella	V	V	ella	suffix
ero	erota	J	V	ta	suffix
erota	erottaa	V	V	ttaa	suffix
haista	haistaa	N	V	taa	suffix
kuiva	kuivua	J	V	ua	suffix
maku	maistaa	N	V	istaa	suffix
muu	muuttaa	U	V	ttaa	suffix
rakas	rakastaa	N	V	taa	suffix
saha	sahata	N	V	ata	suffix
soida	soittaa	V	V	ttaa	suffix
peli	pelata	N	V	ata	suffix
valo	valaista	N	V	aista	suffix
kuu	syyskuu	N	N	syys	prefix
loma	lomailla	N	V	illa	suffix
haara	haarukka	N	N	kka	suffix
maa	maattaa	N	V	ttaa	suffix
laulaa	laulu	V	N	u	suffix
potka	potkia	N	V	ia	suffix
surra	suru	N	N	u	suffix
nousta	nostaa	V	V	taa	suffix
kirjata	kirjain	V	N	in	suffix
nopea	nopeus	J	N	us	suffix
tilava	tilavuus	J	N	uus	suffix
teho	tehokas	N	J	kas	suffix
yksi	yksitoista	N	N	toista	suffix
kaksi	kaksitoista	J	N	toista	suffix
valaa	vale	V	N	e	suffix
kolme	kolmetoista	U	N	toista	suffix
neljä	neljätoista	U	N	toista	suffix
uida	uimari	V	N	ari	suffix
voida	voima	V	N	ma	suffix
kostaa	kostea	V	J	ea	suffix
enä	eno	J	N	o	suffix
polkea	polku	V	N	u	suffix
erä	ero	N	N	o	suffix
Espanja	espanjalainen	N	J	lainen	suffix
valita	valikko	V	N	kko	suffix
ulkomaa	ulkomaalainen	N	J	lainen	suffix
Meksiko	meksikolainen	N	N	lainen	suffix
vanha	ikivanha	J	J	iki	prefix
iku-	ikuinen	U	J	inen	suffix
murtaa	murre	V	N	e	suffix
pursua	purse	V	N	e	suffix
hapan	happo	J	N	o	suffix
itä	Lähi-itä	N	N	lähi	prefix
vallat	Yhdysvallat	N	N	yhdys	prefix
kutoa	kudos	V	N	os	suffix
perho	perhonen	N	N	nen	suffix
polkea	poljin	V	N	in	suffix
emä	emo	N	N	o	suffix
hakata	hake	V	N	e	suffix
hioa	hie	V	N	e	suffix
rippu	ripe	N	N	e	suffix
sana	sane	N	N	e	suffix
pelko	peloton	N	J	ton	suffix
tutkia	tutkija	N	N	ja	suffix
nova	supernova	N	N	super	prefix
sataa	sade	V	N	e	suffix
suomi	suomentaa	N	V	ntaa	suffix
tavata	tavu	V	N	u	suffix
kivi	kives	N	N	s	suffix
kuukkeli	kuukkeloida	N	V	oida	suffix
Google	googlata	N	V	ata	suffix
ristiinnaulita	ristiinnaulitseminen	V	N	minen	suffix
pitää	pito	V	N	o	suffix
visio	televisio	N	N	tele	prefix
serkku	pikkuserkku	N	N	pikku	prefix
estää	este	V	N	e	suffix
suunnistaa	suunnistus	V	N	us	suffix
maalata	maalaus	V	N	us	suffix
tauota	tauko	V	N	o	suffix
puu	puukko	N	N	kko	suffix
yhdeksän	yhdeksäs	J	J	s	suffix
kuusi	kuudes	N	J	s	suffix
seitsemän	seitsemäs	J	J	s	suffix
kahdeksan	kahdeksas	J	J	s	suffix
neljä	neljäs	U	J	s	suffix
hinata	hinaus	V	N	us	suffix
sortaa	sorto	V	N	o	suffix
estää	esto	V	N	o	suffix
aura	aurata	N	V	ta	suffix
Etiopia	etiopialainen	N	J	lainen	suffix
rikkoa	rike	N	N	e	suffix
vuotaa	vuoto	N	N	o	suffix
tuho	tuhota	N	V	ta	suffix
alkaa	aloittaa	V	V	oittaa	suffix
aloitella	aloittelija	V	N	ja	suffix
palaa	palo	N	N	o	suffix
pois	poistaa	N	V	taa	suffix
rikkoa	rikos	N	N	os	suffix
kaupunki	pääkaupunki	N	N	pää	prefix
hiljainen	hiljaisuus	J	N	uus	suffix
raiska	raiskata	N	V	ta	suffix
kirjallinen	kirjallisuus	J	N	uus	suffix
muuttaa	muuttua	V	V	ua	suffix
todellinen	todellisuus	J	N	uus	suffix
täysi	täydellinen	J	J	llinen	suffix
paistaa	paisti	V	N	i	suffix
kuningas	kuningatar	N	N	tar	suffix
aamu	aamiainen	N	N	iainen	suffix
tavata	tapahtua	V	V	htua	suffix
yö	öinen	N	J	inen	suffix
kääntää	kääntäminen	V	N	minen	suffix
ruotsi	ruotsintaa	N	V	ntaa	suffix
aakkonen	aakkosellinen	N	J	llinen	suffix
aakkonen	aakkostaa	N	V	taa	suffix
aika	aikainen	N	J	inen	suffix
nauraa	nauru	V	N	u	suffix
perä	peru	N	N	u	suffix
manata	manaus	V	N	us	suffix
antaa	anne	V	N	e	suffix
porista	pore	V	N	e	suffix
ahtaa	ahto	V	N	o	suffix
taka	taas	N	R	s	suffix
taitaa	taide	V	N	e	suffix
taikoa	taikuri	V	N	uri	suffix
taitaa	taito	V	N	o	suffix
ohi	ohi	N	R	i	suffix
vino	vinous	J	N	us	suffix
imeä	imu	V	N	u	suffix
heprea	heprealainen	N	J	lainen	suffix
painaa	paine	V	N	e	suffix
Itävalta	itävaltalainen	N	J	lainen	suffix
kuusi	kuusitoista	N	N	toista	suffix
seitsemän	seitsemäntoista	J	N	toista	suffix
kahdeksan	kahdeksantoista	J	N	toista	suffix
yhdeksän	yhdeksäntoista	J	N	toista	suffix
ikä	iki	N	R	i	suffix
talvi	takatalvi	N	N	taka	prefix
puhella	puhelin	V	N	in	suffix
tietokone	tietsikka	N	N	kka	suffix
kuolla	kuolema	V	N	ma	suffix
kuolema	kuolematon	N	J	ton	suffix
kuolla	kuolematon	V	U	maton	suffix
kuolla	kuolevainen	V	J	inen	suffix
haukata	haukka	V	N	kka	suffix
avara	avaruus	J	N	uus	suffix
sueta	suku	V	N	u	suffix
isä	esi-isä	N	N	esi	prefix
katsoa	katse	V	N	e	suffix
muovata	muovi	V	N	i	suffix
murha	murhata	N	V	ata	suffix
murhata	murhaaja	V	N	ja	suffix
äiti	esiäiti	N	N	esi	prefix
esi-	esine	U	N	ine	suffix
ukko	ukki	N	N	i	suffix
uskoa	usko	N	N	o	suffix
ottaa	ote	V	N	e	suffix
ottaa	otus	V	N	us	suffix
pukea	puku	V	N	u	suffix
juoda	juoma	V	N	ma	suffix
taata	tae	N	N	e	suffix
takoa	tae	V	N	e	suffix
tietää	tieto	V	N	o	suffix
tietää	tiede	V	N	e	suffix
kolme	kolmio	U	N	io	suffix
kaksi	kaksio	J	N	io	suffix
-kulmio	nelikulmio	N	N	neli	prefix
kuutio	kuutioida	N	V	oida	suffix
kuusi	kuutio	N	N	io	suffix
sormi	sormus	N	N	us	suffix
ala	alus	N	N	us	suffix
elää	elo	V	N	o	suffix
aikoa	aie	V	N	e	suffix
luuranko	luurankomainen	N	J	mainen	suffix
kallo	kallollinen	N	N	llinen	suffix
viita	viidakko	N	N	kko	suffix
pelätä	pelko	V	N	o	suffix
Brasilia	brasilialainen	N	J	lainen	suffix
elää	elin	V	N	in	suffix
luoda	luonto	V	N	nto	suffix
luo	luottaa	U	V	ttaa	suffix
joule	gigajoule	N	N	giga	prefix
lepattaa	lepakko	V	N	kko	suffix
koi	koillinen	N	N	llinen	suffix
pohja	pohjoinen	N	N	inen	suffix
Venäjä	Valko-Venäjä	N	N	valko	prefix
Amerikka	Pohjois-Amerikka	N	N	pohjois	prefix
sammas	sammakko	N	N	kko	suffix
kuvottaa	kuvottava	V	J	va	suffix
osoittaa	osoittautua	V	V	utua	suffix
paisua	paise	V	N	e	suffix
Vietnam	vietnamilainen	N	J	lainen	suffix
aalto	aallokko	N	N	kko	suffix
aallota	aaltoilla	V	V	illa	suffix
välitön	välittömästi	J	R	sti	suffix
lapsi	lapsellinen	N	J	llinen	suffix
moni	monikko	N	N	kko	suffix
kuvittaa	kuvitella	V	V	ella	suffix
hieno	hienoinen	J	J	inen	suffix
saksia	saksija	V	N	ja	suffix
suu	suuttua	N	V	ttua	suffix
suunta	suunnaton	N	J	ton	suffix
paeta	pako	V	N	o	suffix
