gram	kilogram	N	N	kilo	prefix
sto	presto	N	J	pre	prefix
deda	deka	N	N	ka	suffix
život	životopis	N	N	opis	suffix
pila	pilar	N	N	ar	suffix
sapun	sapunica	N	N	ica	suffix
magnet	magnetit	N	N	it	suffix
jutra	sutra	N	N	s	prefix
slava	proslava	N	N	pro	prefix
oblačiti	naoblačiti	V	V	na	prefix
облачити	наоблачити	V	V	на	prefix
reč	rečnik	N	N	nik	suffix
реч	речник	N	N	ник	suffix
zračiti	izračiti	V	V	iz	prefix
зрачити	израчити	V	V	из	prefix
lȕft	luftirati	N	V	irati	suffix
Marin	Marina	N	N	a	suffix
Србија	Србијанац	N	N	нац	suffix
Srbija	Srbijanac	N	N	nac	suffix
svȇt	svetac	N	N	ac	suffix
moliti	molba	V	N	ba	suffix
дода́так	придодатак	N	N	при	prefix
dodátak	pridodatak	N	N	pri	prefix
tvar	stvar	N	N	s	prefix
тва̑р	ствар	N	N	с	prefix
denuti	nadenuti	V	V	na	prefix
денути	наденути	V	V	на	prefix
rod	narod	N	N	na	prefix
род	народ	N	N	на	prefix
raditi	uraditi	V	V	u	prefix
радити	урадити	V	V	у	prefix
pȗt	putnik	N	N	nik	suffix
tresti	trešnja	V	N	nja	suffix
слати	послати	V	V	по	prefix
slati	poslati	V	V	po	prefix
дати	продати	V	V	про	prefix
dati	prodati	V	V	pro	prefix
давати	продавати	V	V	про	prefix
davati	prodavati	V	V	pro	prefix
staviti	predstaviti	V	V	pred	prefix
ставити	представити	V	V	пред	prefix
mal	malen	J	J	en	suffix
kćer	kćerka	N	N	ka	suffix
кћер	кћерка	N	N	ка	suffix
grad	gradski	N	J	ski	suffix
град	градски	N	J	ски	suffix
praviti	napraviti	V	V	na	prefix
правити	направити	V	V	на	prefix
slȍn	slonica	N	N	ica	suffix
sȉt	nasititi	V	V	na	prefix
си̏т	наситити	V	V	на	prefix
хладан	хладноћа	J	N	оћа	suffix
hladan	hladnoća	J	N	oća	suffix
метар	центиметар	N	N	центи	prefix
metar	centimetar	N	N	centi	prefix
bȕkva	bukvica	N	N	ica	suffix
ùbica	samoubica	N	N	samo	prefix
ubístvo	samoubistvo	N	N	samo	prefix
голуб	голубица	N	N	ица	suffix
golub	golubica	N	N	ica	suffix
hvaliti	zahvaliti	V	V	za	prefix
lijep	ljepota	J	N	ota	suffix
lep	lepota	N	N	ota	suffix
marama	maramica	N	N	ica	suffix
визија	телевизија	N	N	теле	prefix
vizija	televizija	N	N	tele	prefix
kam	kamen	N	N	en	suffix
пека	пекара	N	N	ра	suffix
peka	pekar	N	N	ar	suffix
зид	зидар	N	N	ар	suffix
zid	zidar	N	N	ar	suffix
cunámi	telecunami	N	N	tele	prefix
bog	Božić	N	N	ić	suffix
муслиман	муслиманка	N	N	ка	suffix
musliman	muslimanka	N	N	ka	suffix
трава	травка	N	N	ка	suffix
мезар	мезарје	N	N	је	suffix
mezar	mezarje	N	N	je	suffix
guz	guzica	N	N	ica	suffix
гуз	гузица	N	N	ица	suffix
фа̑рбати	офарбати	V	V	о	prefix
fȃrbati	ofarbati	V	V	o	prefix
мре̏жа	електромрежа	N	N	електро	prefix
mreža	elektromreža	N	N	elektro	prefix
апотека	апотекар	N	N	ар	suffix
apoteka	apotekar	N	N	ar	suffix
trava	travka	N	N	ka	suffix
један	јединица	J	N	ица	suffix
jedan	jedinica	J	N	ica	suffix
град	градоначелник	N	N	начелник	suffix
grad	gradonačelnik	N	N	načelnik	suffix
око	предочити	N	V	пред	prefix
oko	predočiti	N	V	pred	prefix
псовати	опсовати	V	V	о	prefix
psovati	opsovati	V	V	o	prefix
клети	проклети	V	V	про	prefix
kleti	prokleti	V	V	pro	prefix
клети	уклети	V	V	у	prefix
kleti	ukleti	V	V	u	prefix
говор	одговор	N	N	од	prefix
govor	odgovor	N	N	od	prefix
сапун	сапуница	N	N	ица	suffix
brz	brzina	J	N	ina	suffix
брз	брзина	J	N	ина	suffix
car	carina	N	N	ina	suffix
