szentel	megszentel	V	V	meg	prefix
sötét	sötétlik	J	V	lik	suffix
sötét	sötétül	J	V	ül	suffix
sötét	sötétít	J	V	ít	suffix
hamis	hamisság	J	N	ság	suffix
hoz	visszahoz	V	V	vissza	prefix
állít	visszaállít	V	V	vissza	prefix
emelkedik	felemelkedik	V	V	fel	prefix
szűz	szüzesség	N	N	ség	suffix
sós	sósság	J	N	ság	suffix
döf	ledöf	V	V	le	prefix
jogos	jogosság	J	N	ság	suffix
címke	címkéz	N	V	z	suffix
eltolódik	eltolódás	V	N	ás	suffix
összetett	összetettség	J	N	ség	suffix
beáramlik	beáramlás	V	N	ás	suffix
tisztátalan	tisztátalanság	J	N	ság	suffix
hév	heves	N	J	es	suffix
ostrom	ostromol	N	V	ol	suffix
telepedik	letelepedik	V	V	le	prefix
ken	felken	V	V	fel	prefix
szentel	felszentel	V	V	fel	prefix
rejtőzik	elrejtőzik	V	V	el	prefix
ront	megront	V	V	meg	prefix
hoz	behoz	V	V	be	prefix
háromszorozódik	megháromszorozódik	V	V	meg	prefix
fegyelem	fegyelmez	N	V	ez	suffix
vidít	felvidít	V	V	fel	prefix
könyörület	könyörületes	N	J	es	suffix
felmagasztal	felmagasztalás	V	N	ás	suffix
egyenes	egyenesség	J	N	ség	suffix
jel	előjel	N	N	elő	prefix
térdel	letérdel	V	V	le	prefix
terít	leterít	V	V	le	prefix
botlik	megbotlik	V	V	meg	prefix
kapaszkodik	belekapaszkodik	V	V	bele	prefix
bosszul	megbosszul	V	V	meg	prefix
haragít	megharagít	V	V	meg	prefix
nyílik	kinyílik	V	V	ki	prefix
számol	megszámol	V	V	meg	prefix
alázkodik	megalázkodik	V	V	meg	prefix
vonul	visszavonul	V	V	vissza	prefix
kiált	kikiált	V	V	ki	prefix
olvad	összeolvad	V	V	össze	prefix
fordul	elfordul	V	V	el	prefix
felé	hazafelé	U	R	haza	prefix
pecsétel	lepecsétel	V	V	le	prefix
bűnös	bűnösség	J	N	ség	suffix
tapogat	megtapogat	V	V	meg	prefix
prés	présel	N	V	el	suffix
páros	párosít	N	V	ít	suffix
zárójel	zárójeles	N	J	es	suffix
éles	élesít	J	V	ít	suffix
házasít	összeházasít	V	V	össze	prefix
állóképes	állóképesség	J	N	ség	suffix
kapcsolódik	összekapcsolódik	V	V	össze	prefix
bőszül	felbőszül	V	V	fel	prefix
semmiz	kisemmiz	V	V	ki	prefix
perkál	kiperkál	V	V	ki	prefix
ürít	kiürít	V	V	ki	prefix
térkép	térképez	N	V	ez	suffix
vés	vésnök	V	N	nök	suffix
ellenőrizhető	ellenőrizhetőség	J	N	ség	suffix
ás	kiás	V	V	ki	prefix
övez	felövez	V	V	fel	prefix
futamít	megfutamít	V	V	meg	prefix
kérges	kérgesedik	J	V	edik	suffix
heged	beheged	V	V	be	prefix
gyönge	gyöngít	J	V	ít	suffix
hangsúly	hangsúlytalan	N	J	talan	suffix
hangsúly	hangsúlyos	N	J	os	suffix
olt	elolt	U	V	el	prefix
tölt	eltölt	V	V	el	prefix
fáradság	fárad	N	V	ad	suffix
zördül	összezördül	V	V	össze	prefix
készült	készültség	J	N	ség	suffix
kopog	kopogtat	V	V	tat	suffix
hasznosít	újrahasznosít	V	V	újra	prefix
szívbeteg	szívbetegség	J	N	ség	suffix
mérnök	mérnökség	N	N	ség	suffix
hosszabbít	hosszabbítás	V	N	ás	suffix
felkészül	felkészületlen	V	J	etlen	suffix
fúj	felfúj	V	V	fel	prefix
elkötelezett	elkötelezettség	J	N	ség	suffix
régi	régies	J	J	es	suffix
meghajt	meghajtás	V	N	ás	suffix
ültet	elültet	V	V	el	prefix
átkoz	elátkoz	V	V	el	prefix
emészt	emészthető	V	J	hető	suffix
selejt	selejtes	N	J	es	suffix
diák	diákság	N	N	ság	suffix
szolgál	felszolgál	V	V	fel	prefix
nyomtat	kinyomtat	V	V	ki	prefix
kubista	kubizmus	N	N	izmus	suffix
bódít	elbódít	V	V	el	prefix
boglár	boglárka	N	N	ka	suffix
aprólékos	aprólékosan	J	R	an	suffix
aprólék	aprólékos	N	J	os	suffix
forral	felforral	V	V	fel	prefix
Aragónia	aragóniai	N	J	i	suffix
nyugtalan	nyugtalankodik	J	V	kodik	suffix
friss	frissesség	J	N	ség	suffix
termék	terméketlen	N	J	etlen	suffix
nyilatkoztat	kinyilatkoztat	V	V	ki	prefix
házasít	megházasít	V	V	meg	prefix
reggelizik	megreggelizik	V	V	meg	prefix
szárít	megszárít	V	V	meg	prefix
szárad	megszárad	V	V	meg	prefix
vacsorázik	megvacsorázik	V	V	meg	prefix
bonc	boncnok	N	N	nok	suffix
Marx	marxizmus	N	N	izmus	suffix
csonkít	megcsonkít	V	V	meg	prefix
emlékezik	megemlékezik	V	V	meg	prefix
fiatalodik	megfiatalodik	V	V	meg	prefix
fésül	megfésül	V	V	meg	prefix
gyógyul	meggyógyul	V	V	meg	prefix
harap	megharap	V	V	meg	prefix
lobogtat	meglobogtat	V	V	meg	prefix
locsol	meglocsol	V	V	meg	prefix
nyal	megnyal	V	V	meg	prefix
puszil	megpuszil	V	V	meg	prefix
rettent	megrettent	V	V	meg	prefix
rostál	megrostál	V	V	meg	prefix
részegül	megrészegül	V	V	meg	prefix
rútul	megrútul	V	V	meg	prefix
rúg	megrúg	V	V	meg	prefix
rövidít	megrövidít	V	V	meg	prefix
szavaz	megszavaz	V	V	meg	prefix
szerelmesedik	megszerelmesedik	V	V	meg	prefix
szőkít	megszőkít	V	V	meg	prefix
sértődik	megsértődik	V	V	meg	prefix
teázik	megteázik	V	V	meg	prefix
táncoltat	megtáncoltat	V	V	meg	prefix
töm	megtöm	V	V	meg	prefix
ugat	megugat	V	V	meg	prefix
uzsonnázik	meguzsonnázik	V	V	meg	prefix
karmol	megkarmol	V	V	meg	prefix
vénül	megvénül	V	V	meg	prefix
vétóz	megvétóz	V	V	meg	prefix
gyám	gyámság	N	N	ság	suffix
hűl	kihűl	V	V	ki	prefix
hűl	lehűl	V	V	le	prefix
hűl	meghűl	V	V	meg	prefix
etnika	etnikai	N	J	i	suffix
alkalmatlan	alkalmatlanság	J	N	ság	suffix
sír	siralom	N	N	alom	suffix
siránkozik	siránkozás	V	N	ás	suffix
felszívódik	felszívódás	V	N	ás	suffix
elnyel	elnyelés	V	N	és	suffix
elmélyed	elmélyedés	V	N	és	suffix
elmerül	elmerülés	V	N	és	suffix
átenged	átengedés	V	N	és	suffix
elszállásol	elszállásolás	V	N	ás	suffix
hozzáférhető	hozzáférhetőség	J	N	ség	suffix
súlyosbít	súlyosbítás	V	N	ás	suffix
sorsol	sorsolás	V	N	ás	suffix
sors	sorsol	N	V	ol	suffix
érsek	érsekség	N	N	ség	suffix
soviniszta	sovinizmus	N	N	izmus	suffix
kárpit	kárpitos	N	N	os	suffix
kikiált	kikiáltás	V	N	ás	suffix
asztma	asztmás	N	J	s	suffix
recitál	elrecitál	V	V	el	prefix
présel	összeprésel	V	V	össze	prefix
csönd	csöndes	N	J	es	suffix
árva	árvaság	J	N	ság	suffix
gög	gőgös	N	N	ös	suffix
bölcs	bölcsen	J	R	en	suffix
csillan	csillanás	V	N	ás	suffix
bénul	bénulás	V	N	ás	suffix
tudatos	tudatosság	J	N	ság	suffix
hidal	áthidal	V	V	át	prefix
csüggedt	csüggedtség	J	N	ség	suffix
átkoz	átkozódik	V	V	ódik	suffix
nyújt	átnyújt	V	V	át	prefix
ágazik	elágazik	V	V	el	prefix
piszkol	bepiszkol	V	V	be	prefix
hökkent	meghökkent	V	V	meg	prefix
folytat	lefolytat	V	V	le	prefix
told	toldalék	V	N	lék	suffix
kereszt	keresztez	N	V	ez	suffix
bámészkodik	bámészkodás	V	N	ás	suffix
elérhető	elérhetőség	J	N	ség	suffix
cedál	átcedál	V	V	át	prefix
agykéreg	agykérgi	N	J	i	suffix
feloldoz	feloldozás	V	N	ás	suffix
keményít	megkeményít	V	V	meg	prefix
nyer	visszanyer	V	V	vissza	prefix
szór	elszór	V	V	el	prefix
provokál	kiprovokál	V	V	ki	prefix
tükröz	visszatükröz	V	V	vissza	prefix
épül	felépül	V	V	fel	prefix
ereszt	leereszt	U	V	le	prefix
másol	lemásol	V	V	le	prefix
nyilvánít	kinyilvánít	V	V	ki	prefix
sül	elsül	V	V	el	prefix
szabadul	megszabadul	V	V	meg	prefix
ró	kiró	V	V	ki	prefix
kezdődik	elkezdődik	V	V	el	prefix
ruház	ráruház	V	V	rá	prefix
bizony	bizonygat	R	V	gat	suffix
gondol	kigondol	N	V	ki	prefix
áll	összeáll	U	V	össze	prefix
suhan	tovasuhan	V	V	tova	prefix
hárít	elhárít	V	V	el	prefix
nyomoz	kinyomoz	V	V	ki	prefix
számít	felszámít	V	V	fel	prefix
elmés	elmésség	J	N	ség	suffix
okos	okoskodik	J	V	kodik	suffix
töröl	eltöröl	V	V	el	prefix
tűr	eltűr	V	V	el	prefix
halmozódik	felhalmozódik	V	V	fel	prefix
fér	hozzáfér	V	V	hozzá	prefix
túr	kitúr	V	V	ki	prefix
vádol	megvádol	V	V	meg	prefix
hitvány	hitványság	J	N	ság	suffix
számít	beleszámít	V	V	bele	prefix
reteszel	bereteszel	V	V	be	prefix
tulajdon	tulajdonít	N	V	ít	suffix
süt	kisüt	V	V	ki	prefix
erőszakos	erőszakoskodik	J	V	kodik	suffix
vádol	bevádol	V	V	be	prefix
old	felold	V	V	fel	prefix
oszlat	szétoszlat	V	V	szét	prefix
vés	bevés	V	V	be	prefix
bíz	rábíz	V	V	rá	prefix
bán	bánkódik	J	V	kódik	suffix
dobál	összedobál	V	V	össze	prefix
hallgattat	elhallgattat	V	V	el	prefix
illeszt	beilleszt	V	V	be	prefix
szól	közbeszól	V	V	közbe	prefix
szárít	kiszárít	V	V	ki	prefix
tép	letép	V	V	le	prefix
elevenedik	felelevenedik	V	V	fel	prefix
göröngy	göröngyös	N	J	ös	suffix
kerekít	kikerekít	V	V	ki	prefix
mocskol	bemocskol	V	V	be	prefix
lékel	meglékel	V	V	meg	prefix
gubancol	összegubancol	V	V	össze	prefix
izgul	izgalom	V	N	alom	suffix
enged	leenged	V	V	le	prefix
sokféle	sokféleség	J	N	ség	suffix
fedd	fegyenc	V	N	enc	suffix
reteszel	elreteszel	V	V	el	prefix
képez	kiképez	V	V	ki	prefix
illeszt	összeilleszt	V	V	össze	prefix
zsugorodik	összezsugorodik	V	V	össze	prefix
buktat	megbuktat	V	V	meg	prefix
sejt	megsejt	V	V	meg	prefix
folt	foltoz	N	V	oz	suffix
rohan	megrohan	V	V	meg	prefix
szellemi	szellemileg	J	R	leg	suffix
visz	keresztülvisz	V	V	keresztül	prefix
herceg	hercegi	N	J	i	suffix
bizalmas	bizalmasan	J	R	an	suffix
rendez	megrendez	V	V	meg	prefix
indulatos	indulatosan	J	R	an	suffix
illeszt	hozzáilleszt	V	V	hozzá	prefix
lök	löket	V	N	et	suffix
egyetemes	egyetemesen	J	R	en	suffix
csata	csatár	N	N	ár	suffix
csekély	csekélység	J	N	ség	suffix
téved	téves	V	J	es	suffix
selejtez	kiselejtez	V	V	ki	prefix
tagad	megtagad	V	V	meg	prefix
sárga	sárgás	J	J	as	suffix
oszt	kioszt	U	V	ki	prefix
szerkeszt	megszerkeszt	V	V	meg	prefix
kontárkodik	belekontárkodik	V	V	bele	prefix
szállásol	elszállásol	V	V	el	prefix
bús	búsul	J	V	ul	suffix
töm	betöm	V	V	be	prefix
háború	háborúzik	N	V	zik	suffix
páhol	elpáhol	V	V	el	prefix
napsütés	napsütéses	N	J	es	suffix
hiszékeny	hiszékenység	J	N	ség	suffix
közönyös	közönyösség	J	N	ség	suffix
futólagos	futólagosan	J	R	an	suffix
botlik	elbotlik	V	V	el	prefix
élet	élettelen	N	J	telen	suffix
bebocsát	bebocsátás	V	N	ás	suffix
világosodás	felvilágosodás	N	N	fel	prefix
dicsér	feldicsér	V	V	fel	prefix
tökél	eltökél	V	V	el	prefix
idealista	idealizmus	N	N	izmus	suffix
horzsol	horzsolás	V	N	ás	suffix
vár	elvár	V	V	el	prefix
fed	átfed	V	V	át	prefix
szabados	szabadosság	J	N	ság	suffix
meghibásodik	meghibásodás	V	N	ás	suffix
dupláz	megdupláz	V	V	meg	prefix
kifinomult	kifinomultság	J	N	ság	suffix
drámai	drámaian	J	R	an	suffix
mentes	mentesség	J	N	ség	suffix
sajátít	kisajátít	V	V	ki	prefix
egyenlő	egyenlően	J	R	en	suffix
olvaszt	egybeolvaszt	V	V	egybe	prefix
logika	logikai	N	J	i	suffix
kerülés	elkerülés	N	N	el	prefix
hideg	hidegség	J	N	ség	suffix
egzisztencia	egzisztencializmus	N	N	izmus	suffix
hajlékony	hajlékonyság	J	N	ság	suffix
barnamező	barnamezős	N	J	s	suffix
vulkán	vulkanizmus	N	N	izmus	suffix
kristályos	kristályosodik	J	V	odik	suffix
Alaszka	alaszkai	N	J	i	suffix
párt	pártol	N	V	ol	suffix
szemel	kiszemel	V	V	ki	prefix
szöktet	elszöktet	V	V	el	prefix
teljesít	beteljesít	V	V	be	prefix
elgondol	elgondolás	V	N	ás	suffix
archaikus	archaizmus	J	N	izmus	suffix
hatástalan	hatástalanság	J	N	ság	suffix
adófelügyelő	adófelügyelőség	N	N	ség	suffix
beiratkozik	beiratkozás	V	N	ás	suffix
dadaista	dadaizmus	N	N	izmus	suffix
átszámít	átszámítás	V	N	ás	suffix
átvándorol	átvándorlás	V	N	ás	suffix
beszámíthatatlan	beszámíthatatlanság	J	N	ság	suffix
bolsevik	bolsevizmus	N	N	izmus	suffix
dilettáns	dilettantizmus	N	N	izmus	suffix
dölyfös	dölyfösség	J	N	ség	suffix
megszólít	megszólítás	V	N	ás	suffix
ittasul	megittasul	V	V	meg	prefix
kétszerez	megkétszerez	V	V	meg	prefix
koszorúz	megkoszorúz	V	V	meg	prefix
örvendeztet	megörvendeztet	V	V	meg	prefix
rázkódtat	megrázkódtat	V	V	meg	prefix
rozsdásodik	megrozsdásodik	V	V	meg	prefix
szólaltat	megszólaltat	V	V	meg	prefix
szürkül	megszürkül	V	V	meg	prefix
tántorodik	megtántorodik	V	V	meg	prefix
tízszerez	megtízszerez	V	V	meg	prefix
válogat	megválogat	V	V	meg	prefix
vasal	megvasal	V	V	meg	prefix
vereget	megvereget	V	V	meg	prefix
vesszőz	megvesszőz	V	V	meg	prefix
vastagodik	megvastagodik	V	V	meg	prefix
nyárspolgár	nyárspolgárság	N	N	ság	suffix
nyög	nyögdécsel	V	V	décsel	suffix
tapad	odatapad	V	V	oda	prefix
önkényes	önkényeskedik	J	V	kedik	suffix
öntudat	öntudatos	N	J	os	suffix
boronál	összeboronál	V	V	össze	prefix
nő	összenő	V	V	össze	prefix
roppan	összeroppan	V	V	össze	prefix
találkozik	összetalálkozik	V	V	össze	prefix
parancsnok	parancsnokság	N	N	ság	suffix
épít	kiépít	V	V	ki	prefix
sokszorosít	sokszorosítás	V	N	ás	suffix
sznob	sznobizmus	N	N	izmus	suffix
szárad	kiszárad	V	V	ki	prefix
felszippant	felszippantás	V	N	ás	suffix
ingerlékeny	ingerlékenység	J	N	ség	suffix
beszív	beszívás	V	N	ás	suffix
illegális	illegálisan	J	R	an	suffix
amennyi	amennyiben	R	R	ben	suffix
morfológia	morfológiai	N	J	i	suffix
beporoz	beporzás	V	N	ás	suffix
zöld	zöldes	J	J	es	suffix
ellazult	ellazultság	J	N	ság	suffix
izgatott	izgatottság	J	N	ság	suffix
egybehangzó	egybehangzóan	J	R	an	suffix
pehely	pelyhes	N	J	es	suffix
fehér	fehéres	J	J	es	suffix
marad	visszamarad	V	V	vissza	prefix
álmos	álmosság	J	N	ság	suffix
görcs	görcsös	N	J	ös	suffix
vár	váratlan	N	J	atlan	suffix
szippant	szippantás	V	N	ás	suffix
biológiai	biológiailag	J	R	lag	suffix
botanika	botanikai	N	J	i	suffix
csapol	lecsapol	V	V	le	prefix
Bulgária	bulgáriai	N	J	i	suffix
köz	köztes	N	J	es	suffix
klónoz	klónozás	V	N	ás	suffix
alatt	alatta	U	R	a	suffix
párolog	párolgás	V	N	ás	suffix
vegyszer	vegyszeres	N	J	es	suffix
analitika	analitikai	N	J	i	suffix
manuális	manuálisan	J	R	an	suffix
négyszer	négyszeres	R	J	es	suffix
lazul	lazulás	V	N	ás	suffix
kalász	kalászos	N	J	os	suffix
azonosít	azonosítható	V	J	ható	suffix
bűnöző	bűnözés	J	N	és	suffix
felszabadul	felszabadulás	V	N	ás	suffix
gróf	grófság	N	N	ság	suffix
feudális	feudalizmus	J	N	izmus	suffix
beállítottság	beállítottságú	N	J	ú	suffix
Belgium	belgiumi	N	J	i	suffix
műszer	műszeres	N	J	es	suffix
rövidít	lerövidít	V	V	le	prefix
gyalogos	gyalogosan	N	R	an	suffix
szkeptikus	szkepticizmus	J	N	izmus	suffix
női	nőies	J	J	es	suffix
feltételez	feltételezhető	V	J	hető	suffix
külső	külsőség	J	N	ség	suffix
gerinc	gerinctelen	N	J	telen	suffix
belpolitika	belpolitikai	N	J	i	suffix
tapasztalat	tapasztalatlan	N	J	tlan	suffix
első	elsődleges	U	J	es	suffix
alakul	alakulat	V	N	at	suffix
házi	házilag	J	R	lag	suffix
földszint	földszintes	N	J	es	suffix
ironikus	ironikusan	J	R	an	suffix
költözködik	költözködés	V	N	és	suffix
népi	népies	J	J	es	suffix
külön	különc	J	N	önc	suffix
anyu	anyuka	N	N	ka	suffix
maradandó	maradandóan	J	R	an	suffix
megenged	megengedhető	V	J	hető	suffix
Ausztrália	ausztráliai	N	N	i	suffix
hab	habos	N	J	os	suffix
kimért	kimértség	J	N	ség	suffix
hamisít	meghamisít	V	V	meg	prefix
árbocoz	felárbocoz	V	V	fel	prefix
cicomáz	felcicomáz	V	N	fel	prefix
öltöztet	kiöltöztet	V	N	ki	prefix
bundázik	megbundáz	V	V	meg	prefix
borzongtat	megborzongtat	V	V	meg	prefix
alattomban	alattomos	R	J	os	suffix
absztrakt	absztrakció	J	N	ció	suffix
dugaszol	dugaszolás	V	N	ás	suffix
bütyköl	bütykölés	V	N	és	suffix
gyorsít	meggyorsít	V	V	meg	prefix
korbács	korbácsol	N	V	ol	suffix
hever	kihever	V	V	ki	prefix
gépi	gépies	J	J	es	suffix
Bukarest	bukaresti	N	J	i	suffix
megszállott	megszállottság	J	N	ság	suffix
dolgoz	kidolgoz	V	V	ki	prefix
csillapít	lecsillapít	V	V	le	prefix
rettenthetetlen	rettenthetetlenség	J	N	ség	suffix
házasít	kiházasít	V	V	ki	prefix
házasodik	összeházasodik	V	V	össze	prefix
elnök	elnököl	N	V	öl	suffix
Bajorország	bajorországi	N	J	i	suffix
kanyargós	kanyargósság	J	N	ság	suffix
beolvad	beolvadás	V	N	ás	suffix
elkülönült	elkülönültség	J	N	ség	suffix
Adria	adriai	N	J	i	suffix
Darwin	darwinizmus	N	N	izmus	suffix
globális	globálisan	J	R	an	suffix
szegez	rászegez	V	V	rá	prefix
Dél-Amerika	dél-amerikai	N	J	i	suffix
áskálódik	áskálódás	V	N	ás	suffix
fondorkodik	fondorkodás	V	N	ás	suffix
apu	apuka	N	N	ka	suffix
tör	áttör	V	V	át	prefix
sanyargat	sanyargatás	V	N	ás	suffix
bámulat	bámulatos	N	J	os	suffix
fenomenológia	fenomenológiailag	N	R	lag	suffix
él	átél	V	V	át	prefix
menet	átmenet	N	N	át	prefix
tehetség	tehetségtelen	N	J	telen	suffix
tömít	tömítés	V	N	és	suffix
gátlástalan	gátlástalanság	J	N	ság	suffix
rafinált	rafináltság	J	N	ság	suffix
kéz	kezes	N	N	es	suffix
ingerel	ingerlés	V	N	és	suffix
rúg	elrúg	V	V	el	prefix
hírnév	hírneves	N	J	es	suffix
hajtogat	összehajtogat	V	V	össze	prefix
perzsel	megperzsel	V	V	meg	prefix
begyűjt	begyűjtés	V	N	és	suffix
beilleszkedik	beilleszkedés	V	N	és	suffix
használ	használhatatlan	V	J	hatatlan	suffix
dér	deres	N	J	es	suffix
hangsúlyos	hangsúlyosan	J	R	an	suffix
ugrik	átugrik	V	V	át	prefix
akadálymentes	akadálymentesség	J	N	ség	suffix
félreérthető	félreérthetőség	J	N	ség	suffix
gyónik	gyónás	V	N	ás	suffix
becsomagol	becsomagolás	V	N	ás	suffix
helyez	kihelyez	V	V	ki	prefix
vezényel	kivezényel	V	V	ki	prefix
természetellenes	természetellenesség	J	N	ség	suffix
tudatosít	tudatosítás	V	N	ás	suffix
kiegyensúlyozatlan	kiegyensúlyozatlanság	J	N	ság	suffix
keleti	keleties	J	J	es	suffix
leír	leírhatatlan	V	J	hatatlan	suffix
számol	kiszámol	V	V	ki	prefix
telepszik	letelepszik	V	V	le	prefix
fehér	fehérség	J	N	ség	suffix
hajlandó	hajlandóság	J	N	ság	suffix
megrezzen	megrezzenés	V	N	és	suffix
pótol	kipótol	V	V	ki	prefix
éled	feléled	V	V	fel	prefix
élénkül	felélénkül	V	V	fel	prefix
hangol	behangol	V	V	be	prefix
mese	mesés	N	J	s	suffix
megüresedik	megüresedés	V	N	és	suffix
izgat	felizgat	V	V	fel	prefix
érvényesít	érvényesítés	V	N	és	suffix
változékony	változékonyság	J	N	ság	suffix
megy	belemegy	V	V	bele	prefix
impresszió	impresszionizmus	N	N	izmus	suffix
hasznos	hasznosság	J	N	ság	suffix
jel	jeltelen	N	J	telen	suffix
nyomó	nyomda	J	N	da	suffix
ikszel	kiikszel	V	V	ki	prefix
csárda	csárdás	N	J	s	suffix
tilt	betilt	V	V	be	prefix
agg	aggság	N	N	ság	suffix
határozatképes	határozatképesség	J	N	ség	suffix
fotó	fotózik	N	V	zik	suffix
akó	akóz	N	V	z	suffix
kanyarodik	bekanyarodik	V	V	be	prefix
választék	választékos	N	J	os	suffix
kilátás	kilátástalan	N	J	talan	suffix
spicc	spicces	N	J	es	suffix
lombosodik	kilombosodik	V	V	ki	prefix
ruha	ruhácska	N	N	cska	suffix
visz	átvisz	V	V	át	prefix
defetista	defetizmus	N	N	izmus	suffix
bemond	bemondás	V	N	ás	suffix
arányos	arányosság	J	N	ság	suffix
bénult	bénultság	J	N	ság	suffix
áthelyez	áthelyezés	V	N	és	suffix
együgyű	együgyűség	J	N	ség	suffix
taxi	taxizik	N	V	zik	suffix
boglya	boglyas	N	J	s	suffix
bohó	bohókás	J	J	kás	suffix
bog	bogos	N	J	os	suffix
hír	hírlik	N	V	lik	suffix
jegecesedik	kijegecesedik	V	V	ki	prefix
kiképez	kiképezetlen	V	J	etlen	suffix
kényszerít	kikényszerít	V	V	ki	prefix
jelentkezik	kijelentkezik	V	V	ki	prefix
jut	kijut	V	V	ki	prefix
bütyök	bütykös	N	J	ös	suffix
állás	állástalan	N	J	talan	suffix
bili	bilis	N	J	s	suffix
mér	megmér	V	V	meg	prefix
lép	fellép	V	V	fel	prefix
kerül	megkerül	V	V	meg	prefix
irányít	átirányít	V	V	át	prefix
deszka	deszkás	N	N	s	suffix
megy	mellémegy	V	V	mellé	prefix
bor	borocska	N	N	ocska	suffix
nyír	lenyír	V	V	le	prefix
újít	felújít	V	N	fel	prefix
hátrál	kihátrál	V	V	ki	prefix
lebont	lebontható	V	J	ható	suffix
bont	lebont	V	V	le	prefix
termel	kitermel	V	V	ki	prefix
harap	leharap	V	V	le	prefix
aláír	aláíratlan	V	J	atlan	suffix
Babilon	babiloni	N	J	i	suffix
Bábel	bábeli	N	J	i	suffix
pincéz	alápincéz	V	V	alá	prefix
bent	benti	N	J	i	suffix
öltözködik	beöltözködik	V	V	be	prefix
önt	beönt	V	V	be	prefix
bepiszkol	bepiszkolódik	V	V	ódik	suffix
klasszicista	klasszicizmus	J	N	izmus	suffix
formalitás	formalizmus	N	N	izmus	suffix
szentimentális	szentimentalizmus	J	N	izmus	suffix
szimbolika	szimbolizmus	N	N	izmus	suffix
expresszionista	expresszionizmus	N	N	izmus	suffix
sóhajt	sóhajtás	V	N	ás	suffix
Burma	burmai	N	J	i	suffix
Bihar	bihari	N	J	i	suffix
ablak	ablakoz	J	V	oz	suffix
abrak	abrakol	N	V	ol	suffix
abrak	abrakos	N	J	os	suffix
harap	kettéharap	V	V	ketté	prefix
oszlik	kettéoszlik	V	V	ketté	prefix
szel	kettészel	V	V	ketté	prefix
lapály	lapályos	N	J	os	suffix
spiritiszta	spiritualizmus	N	N	izmus	suffix
olvas	ráolvas	V	V	rá	prefix
ad	hazaad	V	V	haza	prefix
hazaad	hazaadás	V	N	ás	suffix
döbbent	megdöbbent	V	V	meg	prefix
szoktat	hozzászoktat	V	V	hozzá	prefix
sikál	kisikál	V	V	ki	prefix
ábránd	ábrándos	N	J	os	suffix
kerekezik	hazakerekezik	V	V	haza	prefix
adakozik	adakozás	V	N	ás	suffix
aláfest	aláfestés	V	N	és	suffix
alakoskodik	alakoskodás	V	N	ás	suffix
alap	alapzat	N	N	zat	suffix
tét	alátét	N	N	alá	prefix
alattomos	alattomosság	J	N	ság	suffix
atyafi	atyafiság	N	N	ság	suffix
alma	almás	N	J	s	suffix
alsóbbrendű	alsóbbrendűség	J	N	ség	suffix
általános	általánosság	J	J	ság	suffix
mázol	bemázol	V	V	be	prefix
beretva	beretvál	N	V	l	suffix
apró	aprólék	J	N	lék	suffix
