słowo	słownik	N	N	nik	suffix
mata	matka	N	N	ka	suffix
dziewczyna	dziewczynka	N	N	ka	suffix
długi	długość	J	N	ość	suffix
miły	miłość	J	N	ość	suffix
wysoki	wysokość	J	N	ość	suffix
książka	książeczka	N	N	eczka	suffix
łyżka	łyżeczka	N	N	eczka	suffix
drukować	drukarka	V	N	arka	suffix
cebula	cebulka	N	N	ka	suffix
herbata	herbatka	N	N	ka	suffix
chłop	chłopak	N	N	ak	suffix
chłop	chłopiec	N	N	iec	suffix
nauczyciel	nauczycielka	N	N	ka	suffix
nauczyć	nauczyciel	V	N	ciel	suffix
kwiat	kwiatek	N	N	ek	suffix
woda	wódka	N	N	ka	suffix
wola	wolny	N	J	ny	suffix
Polska	polski	N	J	ski	suffix
miły	mile	J	R	e	suffix
gram	kilogram	J	N	kilo	prefix
Krak	Kraków	N	N	ów	suffix
złoto	złoty	N	J	y	suffix
rysa	ryska	N	N	ka	suffix
kania	kani	N	J	i	suffix
marchew	marchewka	N	N	ka	suffix
para	parka	N	N	ka	suffix
wymóc	wymagać	V	V	ać	suffix
Google	googlować	N	V	ować	suffix
ewentualny	ewentualnie	J	R	ie	suffix
oczywisty	oczywiście	J	R	ie	suffix
baba	babi	N	J	i	suffix
pieprz	pieprzyć	N	V	yć	suffix
wierzba	Wierzbowski	N	N	ski	suffix
kilka	kilkanaście	N	N	naście	suffix
termin	terminator	N	N	ator	suffix
baba	babka	J	N	ka	suffix
Anglia	angol	N	N	ol	suffix
dół	dolina	N	N	ina	suffix
plon	międzyplon	N	N	między	prefix
mulcz	mulczować	N	V	ować	suffix
obły	oblak	J	N	ak	suffix
mrówka	mrównik	N	N	nik	suffix
ucho	uszny	N	J	ny	suffix
Polak	Polka	N	N	ka	suffix
mulczować	mulczujący	V	J	ący	suffix
mulczować	mulczowanie	V	N	anie	suffix
pisać	pismo	V	N	mo	suffix
kot	kotka	N	N	ka	suffix
aktor	aktorka	N	N	ka	suffix
kowal	Kowalska	N	N	ska	suffix
kowal	Kowalski	N	N	ski	suffix
kuna	kuni	N	J	i	suffix
orać	orka	V	N	ka	suffix
róża	różowy	N	J	owy	suffix
brąz	brązowy	N	J	owy	suffix
niebo	niebieski	N	J	ski	suffix
rozebrać	rozbierać	V	V	ać	suffix
sen	snowy	N	J	owy	suffix
co	coś	N	U	ś	suffix
kto	ktoś	N	U	ś	suffix
lekko	lekce	R	R	e	suffix
tarń	tarka	N	N	ka	suffix
brat	brach	N	N	ch	suffix
dać	dany	V	U	any	suffix
lotny	lotnisko	J	N	isko	suffix
chemia	chemiczny	N	J	iczny	suffix
mięso	mięsień	N	N	eń	suffix
kocioł	kotlina	N	N	ina	suffix
córa	córka	N	N	ka	suffix
stary	stara	J	N	a	suffix
lipa	lipiec	N	N	iec	suffix
sierp	sierpień	N	N	eń	suffix
wrzos	wrzesień	N	N	eń	suffix
paździerz	październik	N	N	nik	suffix
siadać	posiadać	V	V	po	prefix
konać	pokonać	V	V	po	prefix
łamać	złamać	V	V	z	prefix
kula	kulka	N	N	ka	suffix
częsty	często	J	R	o	suffix
śniadać	śniadanie	V	N	anie	suffix
lśnić	lśniący	V	J	ący	suffix
ogon	ogonek	N	N	ek	suffix
szkoda	szkodzić	N	V	ić	suffix
widzieć	widzenie	V	N	enie	suffix
nazwać	nazywać	V	V	ać	suffix
nazwać	nazwisko	V	N	isko	suffix
chód	samochód	N	N	samo	prefix
ołów	ołówek	N	N	ek	suffix
przyjemny	przyjemność	J	N	ość	suffix
wygodny	wygodnie	J	R	ie	suffix
kręcić	skręcić	U	V	s	prefix
zwiedzić	zwiedzać	V	V	ać	suffix
wybrać	wybierać	V	V	ać	suffix
skrzyżować	skrzyżowanie	V	N	anie	suffix
zdjąć	zdjęcie	V	N	ęcie	suffix
zostawić	zostawiać	V	V	ać	suffix
pederasta	pedał	N	N	ał	suffix
ontologia	paleontologia	N	N	paleo	prefix
miś	misi	N	J	i	suffix
wiatr	wiatrak	N	N	ak	suffix
kita	kitka	N	N	ka	suffix
Moskal	moch	N	N	ch	suffix
paść	padać	V	V	adać	suffix
Kaczyński	kaczysta	N	N	ysta	suffix
społeczny	społeczeństwo	J	N	stwo	suffix
chudy	chudoba	J	N	oba	suffix
ser	sernik	N	N	nik	suffix
teizm	monoteizm	N	N	mono	prefix
suchy	sucho	J	R	o	suffix
mina	minka	N	N	ka	suffix
zad	zadek	N	N	ek	suffix
pacnąć	packa	V	N	ka	suffix
lotnisko	lotniskowiec	N	N	owiec	suffix
skupić	skupina	V	N	ina	suffix
lizać	Polizei	V	V	po	prefix
misa	miska	N	N	ka	suffix
pszczoła	pszczółka	N	N	ka	suffix
ciasto	ciastko	N	N	ko	suffix
orzeł	orli	N	J	i	suffix
osa	osi	N	J	i	suffix
elf	elfi	N	J	i	suffix
muł	muli	N	J	i	suffix
pomarańcza	pomarańczowy	N	J	owy	suffix
kulturysta	kulturystka	N	N	ka	suffix
gonić	goniec	V	N	ec	suffix
skok	skoczek	N	N	ek	suffix
Portugalia	Portugalka	N	N	ka	suffix
mocz	mocznik	N	N	nik	suffix
Jan	Janik	N	N	ik	suffix
lot	samolot	N	N	samo	prefix
baba	babcia	N	N	cia	suffix
dziad	dziadek	N	N	ek	suffix
historia	prehistoria	N	N	pre	prefix
siatka	siatkówka	N	N	ówka	suffix
grafia	kryptografia	N	N	krypto	prefix
analizować	analizator	V	N	ator	suffix
mózgowie	śródmózgowie	N	N	śród	prefix
Lach	laski	N	J	ski	suffix
grupa	podgrupa	N	N	pod	prefix
kombinować	kombinator	V	N	ator	suffix
demon	demonologia	N	N	logia	suffix
Ryga	ryski	N	J	ski	suffix
etan	etanol	N	N	ol	suffix
uczyć	samouk	V	N	samo	prefix
tresa	treska	N	N	ka	suffix
reporter	reporterka	N	N	ka	suffix
Bruksela	brukselka	N	N	ka	suffix
fiolet	fioletowy	N	J	owy	suffix
purpura	purpurowy	N	J	owy	suffix
beż	beżowy	N	J	owy	suffix
turkus	turkusowy	N	J	owy	suffix
granat	granatowy	N	J	owy	suffix
błękit	błękitny	N	J	ny	suffix
kropka	dwukropek	N	N	dwu	prefix
okrężny	okrężnica	J	N	ica	suffix
przecinać	przecinek	V	N	ek	suffix
indyk	indyczka	N	N	ka	suffix
użycie	nadużycie	N	N	nad	prefix
kot	kotek	N	N	ek	suffix
kot	kocica	N	N	ica	suffix
słoń	słonica	N	N	ica	suffix
rzeczowy	rzeczownik	J	N	nik	suffix
mały	malutki	J	J	utki	suffix
czasowy	czasownik	J	N	nik	suffix
kierować	kierownik	V	N	nik	suffix
kierownik	kierowniczka	N	N	ka	suffix
godny	godność	J	N	ość	suffix
kazać	wskazać	V	V	ws	prefix
znaczyć	wyznaczyć	V	V	wy	prefix
trafić	potrafić	V	V	po	prefix
lekarz	lekarstwo	N	N	stwo	suffix
pion	pionek	N	N	ek	suffix
mierzalny	niemierzalny	J	J	nie	prefix
liczba	liczebnik	N	N	nik	suffix
król	królowa	N	N	owa	suffix
car	caryca	N	N	yca	suffix
dostrzec	dostrzegać	V	V	ać	suffix
stary	starość	J	N	ość	suffix
dorosły	dorosłość	N	N	ość	suffix
pełnoletni	pełnoletniość	J	N	ość	suffix
Czech	Czeszka	N	N	ka	suffix
podlać	podlewać	V	V	wać	suffix
koń	konik	N	N	ik	suffix
zwierz	zwierzę	N	N	ę	suffix
beton	betonowy	N	J	owy	suffix
wiatr	wietrzyć	N	V	yć	suffix
napowietrzyć	napowietrzać	V	V	ać	suffix
stryj	stryjek	N	N	ek	suffix
zimny	zimno	J	R	o	suffix
przeziębić	przeziębienie	V	N	enie	suffix
puch	puszka	N	N	ka	suffix
ametyst	ametystowy	N	J	owy	suffix
studia	studiować	N	V	ować	suffix
