axial	abaxial	J	J	ab	prefix
oral	aboral	J	J	ab	prefix
moral	amoral	J	J	a	prefix
cento	centavo	N	N	avo	suffix
globo	global	N	J	al	suffix
indústria	industrial	N	J	al	suffix
música	musical	N	J	al	suffix
coro	coral	N	N	al	suffix
mosca	mosquito	N	N	ito	suffix
teia	tear	N	N	ar	suffix
jurar	juramento	V	N	mento	suffix
matar	matador	V	N	dor	suffix
pato	pata	N	N	a	suffix
negociar	negociante	V	N	ante	suffix
viagem	viajar	N	V	ar	suffix
cultural	multicultural	J	J	multi	prefix
amargo	amargura	J	N	ura	suffix
cérebro	cerebral	N	J	al	suffix
Itália	italiano	N	J	ano	suffix
ano	anal	N	J	al	suffix
México	mexicano	N	J	ano	suffix
estudo	estudar	N	V	ar	suffix
mover	movimento	V	N	imento	suffix
agricultura	agricultural	N	J	al	suffix
ângulo	angular	N	V	ar	suffix
ornamento	ornamental	N	J	al	suffix
pagar	pagamento	N	N	mento	suffix
abuso	abusar	N	V	ar	suffix
cameral	bicameral	J	J	bi	prefix
labial	bilabial	J	J	bi	prefix
abandonar	abandonado	V	J	ado	suffix
velo	velar	V	J	ar	suffix
despertar	despertador	N	N	dor	suffix
ala	alar	N	J	ar	suffix
raça	racismo	N	N	ismo	suffix
corno	cornada	N	N	ada	suffix
círculo	circular	N	J	ar	suffix
geral	geralmente	J	R	mente	suffix
Coreia	coreano	N	J	ano	suffix
haver	reaver	V	V	re	prefix
Roma	romano	N	J	ano	suffix
área	areal	N	J	al	suffix
feudo	feudal	N	J	al	suffix
vírus	viral	N	J	al	suffix
Macau	macaco	N	N	aco	suffix
continente	continental	J	J	al	suffix
Bolívia	boliviano	N	J	ano	suffix
raça	racial	N	J	ial	suffix
ferrar	ferradura	V	N	dura	suffix
metacarpo	metacarpal	N	N	al	suffix
colosso	colossal	N	J	al	suffix
incentivo	incentivar	N	V	ar	suffix
partícula	particular	N	J	ar	suffix
cansar	descanso	V	N	des	prefix
fronte	frontal	N	J	al	suffix
comprar	comprador	V	N	dor	suffix
molécula	molecular	N	J	ar	suffix
dar	dado	V	J	ado	suffix
lateral	multilateral	J	J	multi	prefix
interessar	interessante	V	J	ante	suffix
logia	psicologia	N	N	psico	prefix
fuso	parafuso	N	N	para	prefix
watt	kilowatt	N	N	kilo	prefix
adição	adicionar	N	V	ar	suffix
fim	finar	N	V	ar	suffix
bacalhau	bacalhoeiro	N	N	eiro	suffix
colónia	colonial	N	J	al	suffix
município	municipal	N	J	al	suffix
bravo	bravura	U	N	ura	suffix
séptico	septicemia	J	N	emia	suffix
Zâmbia	zambiano	N	J	ano	suffix
Zimbábue	zimbabuense	N	J	ense	suffix
zoologia	zoológico	N	J	ico	suffix
utopia	utópico	N	J	ico	suffix
útil	utilizar	J	V	izar	suffix
urgente	urgentemente	J	R	mente	suffix
Ucrânia	ucraniano	N	N	ano	suffix
violeta	ultravioleta	J	J	ultra	prefix
universal	universalmente	J	R	mente	suffix
litografia	cromo	N	N	cromo	prefix
sol	solar	N	J	ar	suffix
cobrir	descobrir	V	V	des	prefix
sabor	saborear	N	V	ear	suffix
Jamaica	jamaicano	N	J	ano	suffix
junto	juntamente	J	R	mente	suffix
justo	justamente	J	R	mente	suffix
burla	burlar	N	V	ar	suffix
testículo	testicular	N	J	ar	suffix
terapia	quimioterapia	N	N	quimio	prefix
kit	quitar	N	V	ar	suffix
aliasing	anti-aliasing	N	N	anti	prefix
polar	circumpolar	J	J	circun	prefix
sexual	homossexual	J	J	homo	prefix
capão	capoeira	N	N	eira	suffix
legal	ilegal	J	J	in	prefix
Peru	peruano	N	J	ano	suffix
dimensão	dimensional	N	J	al	suffix
cérvice	cervical	N	J	al	suffix
brasa	brasil	N	N	il	suffix
lateral	unilateral	J	J	uni	prefix
recurso	recursivo	N	J	ivo	suffix
unir	reunir	V	V	re	prefix
artéria	arterial	N	J	al	suffix
binóculos	binocular	N	V	ar	suffix
América	americano	N	J	ano	suffix
registro	registrar	N	V	ar	suffix
papal	antipapal	J	J	anti	prefix
neutrino	antineutrino	N	N	anti	prefix
gay	antigay	J	J	anti	prefix
Tânger	tangerina	N	N	ina	suffix
Filipe	filipino	N	J	ino	suffix
quark	antiquark	N	N	anti	prefix
território	territorial	N	J	al	suffix
zodíaco	zodiacal	N	J	al	suffix
clerical	anticlerical	J	J	anti	prefix
lateral	bilateral	J	J	bi	prefix
vagar	devagar	R	R	de	prefix
corar	coração	V	N	ção	suffix
viral	antiviral	J	J	anti	prefix
normal	paranormal	J	J	para	prefix
cauda	caudal	N	J	al	suffix
base	básico	N	J	ico	suffix
revestir	revestimento	V	N	mento	suffix
patriota	compatriota	N	N	com	prefix
seguir	seguidor	V	N	dor	suffix
manifestar	manifestante	V	N	ante	suffix
vender	vendedor	V	N	dor	suffix
católico	catolicismo	J	N	ismo	suffix
comunicar	comunicado	V	J	ado	suffix
trâmite	tramitar	N	V	ar	suffix
presença	presenciar	N	V	ar	suffix
captura	capturar	N	V	ar	suffix
relação	relacionar	N	V	ar	suffix
terror	terrorismo	N	N	ismo	suffix
vista	entrevista	N	N	entre	prefix
tocar	tocador	V	N	dor	suffix
comer	comedor	N	N	dor	suffix
voto	votar	N	V	ar	suffix
atacar	atacante	V	J	ante	suffix
candidato	candidatura	N	N	ura	suffix
oficial	oficializar	J	V	izar	suffix
absoluto	absolutismo	J	N	ismo	suffix
central	centralismo	J	N	ismo	suffix
comandar	comandante	V	N	ante	suffix
social	socialista	J	N	ista	suffix
compensar	recompensa	V	N	re	prefix
líder	liderar	N	V	ar	suffix
aparecer	desaparecer	V	V	des	prefix
negociar	negociador	V	J	dor	suffix
programa	programar	N	V	ar	suffix
seguir	conseguir	V	V	con	prefix
legal	legalizar	J	V	izar	suffix
estação	estacionar	N	V	ar	suffix
mercado	supermercado	N	N	super	prefix
alto	altura	N	N	ura	suffix
documento	documental	N	J	al	suffix
particular	particularmente	J	R	mente	suffix
deliberado	deliberadamente	V	R	mente	suffix
carro	carril	N	N	il	suffix
analfabeto	analfabetismo	J	N	ismo	suffix
traduzir	tradução	V	N	ção	suffix
tirar	retirar	V	V	re	prefix
imperial	imperialismo	J	N	ismo	suffix
tribuo	distribuir	V	V	dis	prefix
benefício	beneficiar	N	V	ar	suffix
chato	chatear	J	V	ear	suffix
vós	vosear	N	V	ear	suffix
bastar	bastante	V	R	ante	suffix
berço	berçário	N	N	ário	suffix
cansar	descansar	V	V	des	prefix
viajar	viajante	V	N	ante	suffix
pente	pentelho	N	N	elho	suffix
canção	cancioneiro	N	N	eiro	suffix
feitor	feitoria	N	N	ia	suffix
alquila	alquilar	N	V	ar	suffix
alquilé	alquilar	N	V	ar	suffix
Dinamarca	dinamarquês	N	N	ês	suffix
visor	supervisor	N	N	super	prefix
destro	destreza	N	N	eza	suffix
chapa	chapar	N	V	ar	suffix
congelar	descongelar	V	V	des	prefix
optar	cooptar	V	V	co	prefix
color	unicolor	J	J	uni	prefix
valor	valorar	N	V	ar	suffix
título	titular	N	J	ar	suffix
gozo	gozar	J	V	ar	suffix
cruz	cruzar	N	V	ar	suffix
varão	varonil	J	J	il	suffix
nítido	nitidez	J	N	ez	suffix
cano	caneca	N	N	eca	suffix
organizar	organizador	V	N	dor	suffix
marinho	marinheiro	J	N	eiro	suffix
pedra	pedraria	N	N	aria	suffix
picar	picante	V	J	ante	suffix
vascular	cardiovascular	J	J	cardio	prefix
armar	armada	V	N	ada	suffix
intestino	intestinal	N	J	al	suffix
Paulo	paulista	N	J	ista	suffix
cruz	cruzado	N	N	ado	suffix
cruz	cruzeiro	N	U	eiro	suffix
Brasil	Brasília	N	N	ia	suffix
trovão	trovoada	N	N	ada	suffix
amor	amoroso	N	J	oso	suffix
normal	normalmente	J	R	mente	suffix
campeão	campeonato	N	N	ato	suffix
idrato	carboidrato	N	N	carbo	prefix
fósforo	fosfato	N	N	ato	suffix
dimensional	multidimensional	J	J	multi	prefix
deísmo	pandeísmo	N	N	pan	prefix
teísta	panteísta	N	J	pan	prefix
visual	audiovisual	J	J	audio	prefix
poder	poderoso	N	J	oso	suffix
brinde	brindar	N	V	ar	suffix
natal	neonatal	J	J	neo	prefix
gigante	gigantesco	N	J	esco	suffix
átrio	atrial	N	J	al	suffix
proteína	protease	N	N	ase	suffix
brio	brioso	N	J	oso	suffix
telefonia	telefónico	N	J	ico	suffix
marketing	telemarketing	N	N	tele	prefix
torcer	torcido	V	J	ido	suffix
esperar	esperança	V	N	ança	suffix
porto	aeroporto	N	N	aero	prefix
adrenal	adrenalina	J	N	ina	suffix
poluir	poluição	V	N	ção	suffix
amora	morango	N	N	ango	suffix
Porto	portuense	N	J	ense	suffix
cantar	encantar	V	V	en	prefix
guardar	aguardar	V	V	a	prefix
cuidar	descuidar	V	V	des	prefix
divórcio	divorciar	N	V	ar	suffix
entrevista	entrevistar	N	V	ar	suffix
mão	manejar	N	V	ejar	suffix
menção	mencionar	N	V	ar	suffix
preciso	precisar	J	V	ar	suffix
natural	naturalismo	J	N	ismo	suffix
activar	desactivar	V	V	des	prefix
montar	desmontar	V	V	des	prefix
regular	regularidade	J	N	idade	suffix
cometer	acometer	V	V	a	prefix
gorja	gorjear	N	V	ear	suffix
granja	granjear	N	V	ear	suffix
guerra	guerrear	N	V	ear	suffix
guisa	guisar	N	V	ar	suffix
nível	nivelar	N	V	ar	suffix
obséquio	obsequiar	N	V	ar	suffix
ocasião	ocasionar	N	V	ar	suffix
ornamento	ornamentar	N	V	ar	suffix
óxido	oxidar	N	V	ar	suffix
parlamento	parlamentar	N	J	ar	suffix
paródia	parodiar	N	V	ar	suffix
parcela	parcelar	N	V	ar	suffix
lindar	deslindar	V	V	des	prefix
pirata	piratear	N	V	ear	suffix
torno	tornear	N	V	ear	suffix
teste	testar	V	V	ar	suffix
testo	testar	N	V	ar	suffix
interno	internar	J	V	ar	suffix
legítimo	legitimar	J	V	ar	suffix
venda	vendar	J	V	ar	suffix
anestesia	anestesiar	N	V	ar	suffix
asfalto	asfaltar	N	V	ar	suffix
asfixia	asfixiar	V	V	ar	suffix
tribular	atribular	V	V	a	prefix
bomba	bombear	N	V	ear	suffix
box	boxear	N	V	ear	suffix
