abdomen	abdominal	N	J	al	suffix
absolut	absolutism	N	N	ism	suffix
absolut	absolutist	J	N	ist	suffix
accept	acceptant	N	N	ant	suffix
glob	global	N	J	al	suffix
accelerera	acceleration	V	N	tion	suffix
du	dua	N	V	a	suffix
hamstra	hamstring	V	N	ing	suffix
handla	handling	V	N	ing	suffix
bete	beta	N	V	a	suffix
ta	beta	V	V	be	prefix
meter	kilometer	N	N	kilo	prefix
meter	millimeter	N	N	milli	prefix
data	dator	N	N	or	suffix
vision	television	N	N	tele	prefix
protest	protestant	N	N	ant	suffix
violin	violinist	N	N	ist	suffix
piano	pianist	R	N	ist	suffix
radie	radian	N	N	an	suffix
trombon	trombonist	N	N	ist	suffix
vegetarian	vegetarianism	N	N	ism	suffix
final	semifinal	J	N	semi	prefix
materiell	materialism	J	N	ism	suffix
ryss	rysk	N	J	sk	suffix
översätta	översättning	V	N	ning	suffix
narkotika	narkoman	N	N	man	suffix
hjälp	hjälplös	N	J	lös	suffix
skam	skamlig	N	J	lig	suffix
par	para	N	V	a	suffix
ör	öring	N	N	ing	suffix
eter	eten	N	N	en	suffix
drog	droga	N	V	a	suffix
var	vara	V	V	a	suffix
ni	nia	N	V	a	suffix
naturligt	naturligtvis	J	R	vis	suffix
ge	ange	N	V	an	prefix
sida	huvudsida	N	N	huvud	prefix
norm	normal	N	J	al	suffix
absurd	absurditet	J	N	itet	suffix
Afrika	afrikan	N	N	an	suffix
terror	terrorist	N	N	ist	suffix
delegera	delegation	V	N	ation	suffix
arbete	arbeta	N	V	a	suffix
arbeta	arbetare	V	N	are	suffix
magnet	magnetism	N	N	ism	suffix
presentera	presentation	V	N	ation	suffix
oboe	oboist	N	N	ist	suffix
integrera	integration	V	N	tion	suffix
borr	borra	N	V	a	suffix
symbol	symbolism	N	N	ism	suffix
reparera	reparation	V	N	tion	suffix
bastu	basta	N	V	a	suffix
oscillera	oscillation	V	N	tion	suffix
band	banda	N	V	a	suffix
orientera	orienteering	V	N	ing	suffix
reell	realism	J	N	ism	suffix
ro	bero	V	V	be	prefix
form	forma	N	V	a	suffix
vara	bevara	V	V	be	prefix
alban	albanska	N	N	ska	suffix
journal	journalist	N	N	ist	suffix
sex	sexa	N	V	a	suffix
orgel	organist	N	N	ist	suffix
mess	messa	N	V	a	suffix
mikro	mikra	N	V	a	suffix
ro	oro	N	N	o	prefix
region	regional	N	J	al	suffix
ö	öbo	N	N	bo	suffix
kunna	kunskap	V	N	skap	suffix
vis	visdom	N	N	dom	suffix
öl	öla	N	V	a	suffix
mina	minera	N	V	era	suffix
vikt	viktig	N	J	ig	suffix
fodra	fodring	V	N	ing	suffix
special	specialist	J	N	ist	suffix
hot	hotfull	J	J	full	suffix
översätta	översättare	V	N	are	suffix
Polen	polsk	N	J	sk	suffix
slav	slava	N	V	a	suffix
terror	terrorism	N	N	ism	suffix
shoppa	shopping	V	N	ing	suffix
nationell	internationell	J	J	inter	prefix
död	dödlig	J	J	lig	suffix
dödlig	odödlig	J	J	o	prefix
modern	postmodern	J	J	post	prefix
stå	förstå	V	V	för	prefix
förstå	missförstå	V	V	miss	prefix
modernism	postmodernism	N	N	post	prefix
modern	modernism	J	N	ism	suffix
John	Johnson	N	N	son	suffix
Per	Person	N	N	son	suffix
Japan	japan	N	N	an	suffix
Armenien	armenier	N	N	ier	suffix
Amerika	amerikan	N	N	an	suffix
van	ovan	J	J	o	prefix
cello	cellist	N	N	ist	suffix
assistera	assistent	V	N	ent	suffix
Bolivia	bolivian	N	N	an	suffix
pump	pumps	N	N	s	suffix
fil	fila	N	V	a	suffix
Belgien	belgier	N	N	er	suffix
dans	dansa	V	V	a	suffix
last	lasta	J	V	a	suffix
film	filma	N	V	a	suffix
debut	debutant	N	N	ant	suffix
pant	panta	N	V	a	suffix
bit	bita	N	V	a	suffix
Johan	Johansson	N	N	son	suffix
tyngdlös	tyngdlöshet	J	N	het	suffix
hel	hela	J	V	a	suffix
post	posta	N	V	a	suffix
boliviansk	bolivianska	J	J	a	suffix
bolivian	boliviansk	J	J	sk	suffix
allvar	allvarlig	N	J	lig	suffix
Australien	australier	N	N	er	suffix
man	manlig	N	J	lig	suffix
såg	såga	N	V	a	suffix
extrem	extremist	J	N	ist	suffix
extrem	extremism	J	N	ism	suffix
regel	regla	N	V	a	suffix
bomb	bomba	N	V	a	suffix
spel	spela	N	V	a	suffix
Andorra	andorran	N	N	an	suffix
Angola	angolan	N	N	an	suffix
Antigua	antiguan	N	N	an	suffix
Colombia	colombian	N	N	an	suffix
Georgien	georgier	N	N	ier	suffix
Haiti	haitier	N	N	ier	suffix
Jamaica	jamaican	N	N	an	suffix
Korea	korean	N	N	an	suffix
Nordkorea	nordkorean	N	N	an	suffix
Peru	peruan	N	N	an	suffix
Makedonien	makedonier	N	N	ier	suffix
Somalia	somalier	N	N	ier	suffix
afghan	afghansk	N	J	sk	suffix
alban	albansk	N	J	sk	suffix
Algeriet	algerisk	N	J	sk	suffix
Andorra	andorransk	N	J	sk	suffix
Angola	angolansk	N	J	sk	suffix
Antigua	antiguansk	N	J	sk	suffix
Argentina	argentinsk	N	J	sk	suffix
ontolog	paleontolog	N	N	paleo	prefix
diameter	diametral	N	J	al	suffix
Sparta	spartan	N	U	an	suffix
Tibet	tibetan	N	N	an	suffix
ram	rama	N	V	a	suffix
mena	mening	V	N	ing	suffix
matt	matta	J	J	a	suffix
etyl	etan	N	N	an	suffix
tur	tursam	N	J	sam	suffix
dotter	styvdotter	N	N	styv	prefix
son	styvson	N	N	styv	prefix
dotter	svärdotter	N	N	svär	prefix
son	svärson	N	N	svär	prefix
far	svärfar	N	N	svär	prefix
mor	svärmor	N	N	svär	prefix
skratt	skratta	N	V	a	suffix
egentlig	egentligen	J	R	en	suffix
lott	lotta	N	N	a	suffix
juridik	jurist	N	N	ist	suffix
pilot	autopilot	N	N	auto	prefix
susa	susning	V	N	ning	suffix
fest	festa	J	V	a	suffix
hare	hara	N	V	a	suffix
hut	huta	N	V	a	suffix
tand	tanda	N	V	a	suffix
hat	hata	N	V	a	suffix
en	ena	N	U	a	suffix
möjlig	möjlighet	J	N	het	suffix
rast	rasta	N	V	a	suffix
regera	regering	V	N	ing	suffix
dag	middag	N	N	mid	prefix
hålla	samhälle	V	N	sam	prefix
egen	egendom	J	N	dom	suffix
rost	rosta	N	V	a	suffix
mål	måla	N	V	a	suffix
svett	svettig	N	J	ig	suffix
läka	läkare	V	N	are	suffix
dom	domare	N	N	are	suffix
dansa	dansare	N	N	are	suffix
klättra	klättrare	V	N	are	suffix
legitim	legitimation	J	N	tion	suffix
täcka	betäcka	V	V	be	prefix
gagn	gagna	N	V	a	suffix
tuba	tubaist	N	N	ist	suffix
smuggla	smuggling	V	N	ing	suffix
bord	borda	N	V	a	suffix
tron	trona	N	V	a	suffix
föra	förföra	V	V	för	prefix
landsman	landsmaninna	N	N	inna	suffix
hall	hallon	N	N	on	suffix
bunt	bunta	N	V	a	suffix
par	parvis	J	J	vis	suffix
ren	rena	N	J	a	suffix
gång	utgång	N	N	ut	prefix
gång	ingång	N	N	in	prefix
gång	avgång	N	N	av	prefix
pris	prisa	J	V	a	suffix
harpa	harpist	N	N	ist	suffix
dyr	svindyr	J	J	svin	prefix
